,partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
14467,7237,36,Atletico-MG,21,4,72.0,745,90.0,10,1,0,1,6
14468,7238,36,Santos,17,6,57.0,472,85.0,15,0,0,3,7
14469,7238,36,Coritiba,8,3,43.0,362,83.0,16,4,0,1,3
14470,7239,36,Corinthians,11,3,34.0,307,73.0,16,5,0,1,3
14471,7239,36,Flamengo,14,5,66.0,597,85.0,21,1,0,4,4
14472,7240,36,Vasco,8,0,65.0,460,83.0,9,1,0,2,3
14473,7240,36,Internacional,16,7,35.0,257,71.0,20,6,0,0,9
14474,7241,36,Atletico-GO,11,4,40.0,306,79.0,9,1,0,3,4
14475,7241,36,Athletico-PR,8,3,60.0,453,86.0,14,3,0,4,7
14476,7242,36,Fortaleza,5,1,32.0,281,72.0,11,3,0,0,4
14477,7242,36,Palmeiras,13,6,68.0,611,90.0,16,0,0,4,3
14478,7243,36,Gremio,5,3,52.0,520,86.0,19,4,1,0,5
14479,7243,36,Sao Paulo,11,4,48.0,492,87.0,18,4,0,0,2
14480,7244,36,Fluminense,9,4,48.0,429,82.0,8,1,0,0,0
14481,7244,36,Ceara,13,5,52.0,435,85.0,18,1,0,0,9
14482,7245,36,Sport,4,0,31.0,273,65.0,8,3,0,0,1
14483,7245,36,Bragantino,22,6,69.0,580,84.0,10,0,0,1,15
14484,7215,33,Corinthians,11,4,54.0,417,81.0,25,0,0,2,5
14485,7215,33,Santos,11,5,46.0,368,78.0,24,0,0,2,6
14486,7235,35,Coritiba,13,4,47.0,381,82.0,16,2,0,1,5
14487,7235,35,Palmeiras,15,4,53.0,434,83.0,20,3,1,3,4
14488,7225,34,Sao Paulo,7,3,42.0,314,75.0,16,2,0,3,1
14489,7225,34,Palmeiras,8,2,58.0,431,83.0,14,1,0,3,5
14490,7246,37,Coritiba,16,5,63.0,573,88.0,14,1,0,2,7
14491,7246,37,Ceara,11,4,37.0,336,76.0,9,0,0,1,5
14492,7247,37,Fortaleza,11,3,61.0,547,90.0,15,3,1,0,2
14493,7247,37,Bahia,12,7,39.0,353,84.0,13,3,0,1,0
14494,7249,37,Corinthians,14,4,68.0,587,85.0,23,1,0,1,7
14495,7249,37,Vasco,7,0,32.0,279,71.0,18,2,0,6,4
14496,7248,37,Atletico-MG,25,10,61.0,585,87.0,13,4,0,0,4
14497,7248,37,Sport,9,3,39.0,372,79.0,16,4,0,0,2
14498,7250,37,Flamengo,10,4,60.0,456,86.0,21,4,0,3,1
14499,7250,37,Internacional,12,3,40.0,302,75.0,14,0,1,0,4
14500,7251,37,Fluminense,7,3,38.0,281,75.0,19,4,1,1,4
14501,7251,37,Santos,8,2,62.0,454,84.0,20,3,0,1,4
14502,7252,37,Gremio,11,2,50.0,463,86.0,19,3,0,1,2
14503,7252,37,Athletico-PR,8,2,50.0,465,85.0,17,1,2,4,2
14504,7253,37,Bragantino,14,5,57.0,405,77.0,20,0,0,1,11
14505,7253,37,Goias,14,1,43.0,317,69.0,18,2,0,1,3
14506,7254,37,Palmeiras,19,4,64.0,543,87.0,20,2,0,0,9
14507,7254,37,Atletico-GO,9,3,36.0,307,75.0,13,1,0,1,6
14508,7255,37,Botafogo-RJ,19,8,47.0,428,85.0,12,3,0,2,4
14509,7255,37,Sao Paulo,7,1,53.0,457,83.0,15,5,1,0,3
14510,7264,38,Goias,20,5,52.0,405,84.0,18,2,0,2,6
14511,7264,38,Vasco,27,12,48.0,390,85.0,12,1,0,2,9
14512,7256,38,Gremio,15,2,44.0,370,79.0,12,0,0,0,7
14513,7256,38,Bragantino,19,6,56.0,471,82.0,24,4,0,1,3
14514,7257,38,Santos,15,5,52.0,475,88.0,13,0,0,1,4
14515,7257,38,Bahia,16,5,48.0,447,85.0,11,0,0,2,4
14516,7258,38,Athletico-PR,18,8,56.0,480,83.0,15,0,0,2,8
